Symbol,Pt1,Pt2,Pt4,Pt5,Pt6,Pt7,Pt8,Pt9,Pt10,Pt12,Pt13,Pt14,Pt15,Pt19,Pt20,Pt22,Pt23,Pt25,Pt27A,Pt27B,Pt28,Pt29
A1BG,733.93,18407.35,480.48,646.2,169,783.8,209.65,512.62,403.28,354.06,583.78,440.67,937.8,484.13,427.48,316.99,397,925,285.74,325.53,303.53,322.41
A1BG-AS1,486.42,186.29,156.14,271.48,85.94,581.98,140.41,267.9,274.07,398.72,200.1,265.98,287.25,218.29,187.8,154.37,270.3,175.46,114.16,115.69,40,291.8
A1CF,0,3939,0,0,2,0,1,1,0,0,0,3,1,0,1,0,0,0,0,1,53,3
A2M,61435.94,67338.28,18311.91,12220.98,37118.95,8264.26,12204.32,65578.76,170249.6,110686.51,163243.27,17509.74,32967.09,7292.53,15659.03,46732.5,50496.22,41134.57,110624.58,92252.78,7840.53,121571.67
A2M-AS1,40.06,131.72,15.09,4.02,36.05,74.74,130.68,275.24,137.4,113.49,100.73,17.26,181.91,29.47,75.97,58.5,139.78,180.43,43.42,32.22,24.47,40.33
A2ML1,4,1,2,0,0,1,3,101,6,0,0,0,0,0,11,9,1,2,15,3,18615,0
A2MP1,5,1,2,0,0,1,2,15,4,0,2,6,1,0,0,7,5,0,1,2,7,3
A4GALT,878,28,60,81,140,78,176,376,3445,138,892,502,74,331,108,765,271,134,138,73,240,140
A4GNT,3,5,1,0,0,1,0,6,3,18,24,13,6,0,1,3,3,0,0,2,0,1
AA06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AAAS,2150,911,1664,2427,1535,928,725,1673,2106,1023,1186,3562,1097,1865,727,1526,1068,2049,1988,1287,711,1090
AACS,669,274,359,1776,1407,793,441,931,1868,2777,578,1328,409,854,290,1019,925,229,1231,886,1451,729
AACSP1,0,0,0,31,0,0,0,702,0,1,0,53,298,0,0,0,0,0,144,179,4,0
AADAC,3,2331,8,0,0,0,0,46,1,2,2,476,1,0,0,13,0,1,0,0,306,70
AADACL2,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1320,0
AADACL3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
AADACL4,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
AADAT,391,523,227,437,235,111,70,277,1173,644,740,33,91,45,33,208,478,89,23,17,28,191
AAED1,419,252,211,498,295,783,169,555,657,406,630,836,600,72,309,441,655,177,716,787,175,714
AAGAB,2979,1052,2905,4450,5430,1587,985,4058,2106,2227,2300,3050,1778,669,1229,2343,1200,1112,2762,1991,1687,2832
